Arc/Info ASCII Grid,AAIGrid
R Raster (.grd),RRASTER
Idrisi Raster,RST
Sentinel 1 SAR SAFE (manifest.safe),SAFE
Sentinel 2,SENTINEL2
SAGA GIS Binary format,SAGA
SAR CEOS,SAR_CEOS
ArcSDE Raster,SDE
USGS SDTS DEM (*CATD.DDF),SDTS
SGI Image Format,SGI
Scaled Integer Gridded DEM,SIGDEM
Snow Data Assimilation System,SNODAS
Standard Raster Product (ASRP/USRP),SRP
SRTM HGT Format,SRTMHGT
Terragen Heightfield (.ter),TERRAGEN
EarthWatch/DigitalGlobe .TIL,TIL
TileDB,TileDB
TerraSAR-X Product,TSX
USGS ASCII DEM / CDED (.dem),USGSDEM
VICAR,VICAR
GDAL Virtual (.vrt),VRT
OGC Web Coverage Service,WCS
WEBP,WEBP
OGC Web Map Service, and TMS, WorldWind, On Earth tiled, VirtualEarth, ArcGIS REST, IIP),WMS
OGC Web Map Tile Service,WMTS
X11 Pixmap (.xpm),XPM
ASCII Gridded XYZ,XYZ
ZMap Plus Grid,ZMap
