"SEQ_KEY","COORD_OP_CODE","SOURCE_CRS_CODE","TARGET_CRS_CODE","REMARKS","COORD_OP_SCOPE","AREA_OF_USE_CODE","AREA_SOUTH_BOUND_LAT","AREA_NORTH_BOUND_LAT","AREA_WEST_BOUND_LON","AREA_EAST_BOUND_LON","SHOW_OPERATION","DEPRECATED","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS","PREFERRED"
18,1869,4618,4326,Derived at 7 stations.,"For military purposes only. Accuracy 6m, 6m and 5m in X, Y and Z axes.",1070,-4.22,15.93,-85.79,-66.91,1,0,9603,-44,6,-36,,,,,0
19,1870,4618,4326,Derived at 11 stations.,For military purposes. Accuracy 3m in each axis.,3241,-5.01,1.5,-81.45,-75.26,1,0,9603,-48,3,-44,,,,,0
20,1871,4618,4326,Derived at 1 station.,For military purposes. Accuracy 25m in each axis.,2356,-1.6,1.75,-92,-89,1,0,9603,-47,26,-42,,,,,0
21,1872,4618,4326,Derived at 5 stations.,"For military purposes only. Accuracy 9m, 5m and 5m in X, Y and Z axes.",1114,1.19,11.98,-61.43,-55.72,1,0,9603,-53,3,-47,,,,,0
22,1873,4618,4326,Derived at 4 stations.,For military purposes. Accuracy 15m in each axis.,1188,-27.6,-19.31,-62.68,-54.28,1,0,9603,-61,2,-33,,,,,0
23,1874,4618,4326,Derived at 6 stations.,For military purposes. Accuracy 5m in each axis.,1189,-20.72,-0.03,-84.73,-68.72,1,0,9603,-58,0,-44,,,,,0
24,1875,4618,4326,Derived at 1 station.,For military purposes only. Accuracy 25m in each axis.,1235,9.82,11.68,-62.08,-58.53,1,0,9603,-45,12,-33,,,,,0
25,1876,4618,4326,Derived at 5 stations.,"For military purposes only. Accuracy 3m, 6m and 3m in X, Y and Z axes.",1251,0.65,16.76,-73.36,-57.38,1,0,9603,-45,8,-33,,,,,0
26,1877,4618,4326,"Derived by Brazilian Institute of Geography and Statistics (IBGE) in 1989. Used by ANP. (Note: for historic reasons associated with one-time web url, tfm version uses initials IGBE, not IBGE).",Medium and small scale mapping.,1053,-35.89,7.25,-74.05,-26.12,1,0,9603,-66.87,4.37,-38.52,,,,,0
27,1879,4619,4326,"Parameter values taken from SWEREF to ETRS89 (1) (code 1878) assuming that ETRS89 is equivalent to WGS 84 within the accuracy of the transformation.",Geographic Information Systems.,1225,55.2,69.1,10.57,24.18,1,0,9603,0,0,0,,,,,1
28,1880,4620,4326,Derived at one point in each of Burkina Faso and Niger.,For military purposes. Accuracy 25m in each axis.,2791,9.4,15.71,-5.52,4.63,1,0,9603,-106,-129,165,,,,,1
29,1903,4621,4326,,"Accuracy +/- 10 metres.",2828,17.65,18.2,-63.18,-62.7,1,0,9603,137,248,-430,,,,,1
30,1904,4622,4326,,"Accuracy +/- 10 metres.",2829,14.35,16.51,-61.8,-60.75,1,0,9603,-467,-16,-300,,,,,1
31,1905,4622,4326,,"Accuracy +/- 0.1 metre.",2829,14.35,16.51,-61.8,-60.75,1,0,9606,-472.29,-5.63,-304.12,0.4362,-0.8374,0.2563,1.8984,0
32,1906,4623,4326,,"Accuracy +/- 10 metres.",3105,2.11,5.95,-54.65,-51.05,1,0,9603,-186,230,110,,,,,1
33,1907,4624,4326,,"Accuracy +/- 2 metres.",1097,2.11,9.06,-54.65,-49.62,1,0,9603,2,2,-2,,,,,1
34,1909,4625,4326,,"Accuracy +/- 10 metres.",1156,14.14,16.77,-62.57,-57.51,1,0,9603,186,482,151,,,,,1
35,1910,4625,4326,,"Accuracy +/- 0.1 metre.",1156,14.14,16.77,-62.57,-57.51,1,0,9606,126.93,547.94,130.41,-2.7867,5.1612,-0.8584,13.8227,0
36,1911,4626,4326,Derived at 1 station.,"Accuracy +/- 30 metres.",1196,-25.92,-10.6,37.58,58.27,1,1,9603,94,-948,-1292,,,,,0
37,15751,4626,4326,Derived at 1 station.,For military purposes. Accuracy 25m in each axis.,1196,-25.92,-10.6,37.58,58.27,1,0,9603,94,-948,-1262,,,,,1
38,1912,4627,4326,,"Accuracy +/- 1 metre.",1196,-25.92,-10.6,37.58,58.27,1,0,9603,0,0,0,,,,,1
39,1924,4628,4326,,"Accuracy +/- 10 metres.",2811,-17.91,-17.45,-149.96,-149.07,1,0,9603,162,117,154,,,,,1
40,1913,4629,4326,,"Accuracy +/- 10 metres.",2812,-16.95,-16.62,-151.8,-150.9,1,0,9603,65,342,77,,,,,0
41,15770,4629,4326,"Approximation at the +/- 1m level assuming that RGPF is equivalent to WGS 84. Parameter values taken from Tahaa 54 to RGPF (1) (tfm code 15758).","Accuracy +/- 1 metre.",2812,-16.95,-16.62,-151.8,-150.9,1,0,9607,72.438,345.918,79.486,-1.6045,-0.8823,-0.5565,1.3746,1
42,1914,4630,4326,,"Accuracy +/- 10 metres.",3129,-9.5,-8.75,-140.25,-139.45,1,0,9603,84,274,65,,,,,1
43,15775,4630,4326,"Approximation at the +/- 1m level assuming that RGPF is equivalent to WGS 84. Parameter values taken from IGN72 Nuku Hiva to RGPF (1) (tfm code 15763).","Accuracy +/- 1 metre.",2810,-9,-8.75,-140.25,-139.95,1,0,9607,165.732,216.72,180.505,-0.6434,-0.4512,-0.0791,7.4204,0
44,15776,4630,4326,"Approximation at the +/- 1m level assuming that RGPF is equivalent to WGS 84. Parameter values taken from IGN72 Nuku Hiva to RGPF (2) (tfm code 15764).","Accuracy +/- 2 metres.",3127,-9,-8.85,-139.6,-139.45,1,0,9607,1363.785,1362.687,398.811,-4.5322,-6.7579,-1.0574,268.361,0
45,15777,4630,4326,"Approximation at the +/- 1m level assuming that RGPF is equivalent to WGS 84. Parameter values taken from IGN72 Nuku Hiva to RGPF (2) (tfm code 15765).","Accuracy +/- 1 metre.",3128,-9.5,-9.33,-140.17,-140,1,0,9607,259.551,297.612,197.833,1.4866,2.1224,0.4612,27.0249,0
46,1915,4631,4326,"Also published in US NIMA/NGA TR8350.2 which gives accuracy of +/-25m in each axis and states that derived at one station.","Accuracy +/- 10 metres.",2816,-49.75,-48.5,68.5,70.6,1,1,9603,145,-187,103,,,,,0
47,1916,4632,4326,,"Accuracy +/- 10 metres.",1159,-14.37,-11.32,44.13,45.77,1,0,9603,-382,-59,-262,,,,,1
48,1272,4121,4326,,For applications requiring 1m or better accuracy.,1106,33.23,41.77,18.27,29.97,1,0,9603,-199.87,74.79,246.62,,,,,1
49,1918,4634,4326,,"Accuracy +/- 10 metres.",1174,-23.46,-17.26,157.09,173.89,1,1,9603,-13,-348,292,,,,,0
50,1929,4634,4326,,"Accuracy better than +/- 1 metre.",2822,-22.5,-20,163.9,167.1,1,1,9606,97.295,-263.247,310.882,-1.5999,0.8386,3.1409,13.3259,0
51,1639,4123,4326,"Parameter values from KKJ to ETRS89 (1) (code 1638). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation. Replaced by KKJ to WGS 84 (2) (code 10099).",For applications to an accuracy of 1 to 2 metres.,1095,59.3,70.13,19.09,31.59,1,0,9606,-90.7,-106.1,-119.2,4.09,0.218,-1.05,1.37,0
52,10099,4123,4326,"Parameter values from KKJ to ETRS89 (2) (code 10098). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation. Replaces KKJ to WGS 84 (1) (code 1639).",For applications to an accuracy of 1 to 2 metres.,1095,59.3,70.13,19.09,31.59,1,0,9607,-96.062,-82.428,-121.753,-4.801,-0.345,1.376,1.496,1
53,1680,4124,4326,"Parameter values from RT90 to ETRS89 (1) (code 1437) assuming that ETRS89 is equivalent to WGS 84 within the accuracy of the transformation. Replaced by RT90 to WGS 84 (2) (code 1896) from 2001.","Approximation at the +/- 1m level.",1225,55.2,69.1,10.57,24.18,1,0,9607,419.3836,99.3335,591.3451,-0.850389,-1.817277,7.862238,-0.99496,1
54,1788,4124,4326,"Parameter values from RT90 to ETRS89 (1) (code 1787) assuming that ETRS89 is equivalent to WGS 84 within the accuracy of the transformation. Supersedes RT90 to WGS 84 (1) (code 1680).","Approximation at the +/- 1m level.",1225,55.2,69.1,10.57,24.18,1,1,9607,414.1,41.3,603.1,-0.855,2.141,-7.023,0,0
55,1896,4124,4326,"Parameter values from RT90 to SWEREF99 (1) (code 1895) assuming that SWEREF99 is equivalent to WGS 84 within the accuracy of the transformation. Replaces RT90 to WGS 84 (1) (code 1680).","Approximation at the +/- 1m level.",1225,55.2,69.1,10.57,24.18,1,0,9607,414.1,41.3,603.1,0.855,-2.141,7.023,0,0
56,1282,4125,4326,Datum shift derived through ITRF93.,Oil exploration.,1328,-1.35,0,116.9,118,1,1,9603,-404.78,685.68,45.47,,,,,0
57,1923,4638,4326,,"Accuracy +/- 10 metres.",1220,43.53,47.39,-58.02,-55.12,1,0,9603,30,430,368,,,,,1
58,1683,4127,4326,"Parameter values taken from Tete to Moznet (1) (code 1297) assuming that Moznet is equivalent to WGS 84 within the accuracy of the transformation.",Residuals as high as 30 metres.,1167,-26.88,-9.56,30.23,43,1,0,9607,-115.064,-87.39,-101.716,0.058,-4.001,2.062,9.366,1
59,1684,4127,4326,"Parameter values taken from Tete to Moznet (2) (code 1298) assuming that Moznet is equivalent to WGS 84 within the accuracy of the transformation.",Residuals are generally under 1 metre.,2350,-26.88,-24,31.8,35.6,1,0,9607,-82.875,-57.097,-156.768,2.158,-1.524,0.982,-0.359,0
60,1685,4127,4326,"Parameter values taken from Tete to Moznet (3) (code 1299) assuming that Moznet is equivalent to WGS 84 within the accuracy of the transformation.",Residuals are generally under 4 metres.,2351,-24,-20,31.33,35.6,1,0,9607,-138.527,-91.999,-114.591,0.14,-3.363,2.217,11.748,0
61,1686,4127,4326,"Parameter values taken from Tete to Moznet (4) (code 1300) assuming that Moznet is equivalent to WGS 84 within the accuracy of the transformation.",Residuals are generally under 3 metres.,2352,-20,-16,31.18,40.15,1,0,9607,-73.472,-51.66,-112.482,-0.953,-4.6,2.368,0.586,0
62,1687,4127,4326,"Parameter values taken from Tete to Moznet (5) (code 1301) assuming that Moznet is equivalent to WGS 84 within the accuracy of the transformation.",Residuals are 5-10 metres.,2353,-16,-9.56,30.23,40.9,1,0,9607,219.315,168.975,-166.145,-0.198,-5.926,2.356,-57.104,0
63,1934,4640,4326,RRAF 1991 was defined to be WGS84 at a single point in Martinique during the 1988 Tango mission.,"Accuracy +/- 1 metre.",2824,14.4,16.51,-61.8,-60.82,1,1,9603,0,0,0,,,,,0
64,1928,4641,4326,Withdrawn by information source and replaced by improved information - see tfm code 15901.,"Accuracy better than +/- 1 metre.",2819,-21.7,-21.3,167.75,168.15,1,0,9606,-408.809,366.856,-412.987,1.8842,-0.5308,2.1655,-121.0993,1
65,15783,4641,4326,Withdrawn by information source and replaced by improved information from local authority - see tfm code 15901.,Accuracy 5 metres.,2819,-21.7,-21.3,167.75,168.15,1,0,9603,287,178,-136,,,,,0
66,15901,4641,4326,"Parameter values taken from IGN53 Mare to RGNC91-93 (1) ( code 15884) assuming that RGNC91-93 is equivalent to WGS 84 to within the accuracy of the transformation.",Accuracy 2 metres.,2819,-21.7,-21.3,167.75,168.15,1,0,9603,287.58,177.78,-135.41,,,,,0
67,1302,4130,4326,,For many purposes Moznet can be considered to be coincident with WGS 84. Accuracy better than 1 metre.,1167,-26.88,-9.56,30.23,43,1,0,9607,0,0,0,0,0,0,0,1
68,1542,4131,4326,Derived at 2 stations.,For military purposes. Accuracy 25m in each axis.,2359,15.9,16.1,107.45,108.4,1,0,9603,198,881,317,,,,,1
69,1543,4131,4326,Derived at 1 station.,For military purposes. Accuracy 25m in each axis.,2360,8.62,8.76,106.53,106.75,1,0,9603,182,915,344,,,,,0
70,1513,4132,4326,Derived in 1998 in Kangan district by Geoid for Total. Used for South Pars phases 2 and 3.,Oil exploration.,2362,27.7,28.2,51.8,52.5,1,0,9603,-241.54,-163.64,396.06,,,,,0
71,1854,4132,4326,Derived by Geoid for Elf in 1999. EGM96 geoid used.,Oil Exploration,2782,26.2,26.8,52.4,53.3,1,0,9603,-239.1,-170.02,397.5,,,,,1
72,1855,4132,4326,Derived by Geoid for Elf in 1999. EGM96 geoid used.,Oil Exploration,2781,29,29.33,50.15,50.4,1,0,9603,-244.72,-162.773,400.75,,,,,0
73,1333,4133,4326,,"?",1090,57.57,59.7,21.84,28,1,0,9607,0.055,-0.541,-0.185,-0.0183,0.0003,0.007,-0.014,1
74,1439,4134,4326,"Replaced PSD93 to WGS 84 (2) (code 8581) in 1997.","Oil exploration. Residuals 0.5m at 67% probability level.",1183,14.01,26.75,51.9,63.05,1,0,9606,-180.624,-225.516,173.919,-0.81,-1.898,8.336,16.71006,1
75,1617,4134,4326,Accuracy better than 0.5m in block 4.,Oil exploration.,2404,19.58,21.17,56.5,59.02,1,0,9606,-191.808,-250.512,167.861,-0.792,-1.653,8.558,20.703,0
76,15824,4135,4326,Derived at 15 satellite stations.,"Military mapping. Accuracy +/- 25m in X axis, +/- 20m in Y and Z axes.",1334,18.9,22.24,-160.55,-154.8,1,0,9603,61,-285,-181,,,,,1
77,15825,4135,4326,Derived at 2 satellite stations.,"Military mapping. Accuracy +/- 25m in each axis.",1546,18.9,20.27,-156.06,-154.8,1,0,9603,89,-279,-183,,,,,0
78,15826,4135,4326,Derived at 3 satellite stations.,"Military mapping. Accuracy +/- 20m in each axis.",1549,21.87,22.24,-159.79,-159.29,1,0,9603,45,-290,-172,,,,,0
79,15827,4135,4326,Derived at 2 satellite stations.,"Military mapping. Accuracy +/- 25m in each axis.",1547,20.49,21.22,-157.31,-155.97,1,0,9603,65,-290,-190,,,,,0
80,15828,4135,4326,Derived at 8 satellite stations.,"Military mapping only. Accuracy +/- 10m in X axis, +/- 6m in Y and Z axes.",1548,21.12,21.72,-158.39,-157.52,1,0,9603,58,-283,-182,,,,,0
81,1893,4139,4326,Derived at 11 stations.,For military purposes only. Accuracy 3m in each axis.,1335,17.67,18.8,-67.3,-64.25,1,0,9603,11,72,-101,,,,,1
82,1473,4140,4326,"For many purposes NAD83(CSRS98) can be considered to be coincident with WGS 84.","Approximation at the +/- 1m level assuming that NAD83(CSRS98) is equivalent to WGS 84.",1336,44.61,62.56,-120,-57.1,1,1,9603,0,0,0,,,,,0
83,1073,4141,4326,For more accurate transformation contact Survey of Israel.,"Accuracy: 2m",1126,29.51,33.98,33.47,35.69,1,0,9603,-48,55,52,,,,,1
84,1469,4142,4326,,"?",2282,5.13,5.92,-4.8,-3.4,1,0,9603,-125,53,467,,,,,1
85,1470,4143,4326,,"?",2282,5.13,5.92,-4.8,-3.4,1,0,9603,-124.76,53,466.79,,,,,1
86,1155,4144,4326,Derived at 6 stations.,"For military purposes. Accuracy 10m, 8m and 12m in X, Y and Z axes.",1041,15.09,26.65,88.1,92.72,1,0,9603,282,726,254,,,,,1
87,1533,4144,4326,,Oil exploration.,2361,14.5,16.5,94,98,1,0,9603,214,804,268,,,,,0
88,1247,4145,4326,"Care! DMA ellipsoid is inconsistent with EPSG ellipsoid - transformation parameter values may not be appropriate. No accuracy estimate available.",For military purposes.,1184,20.59,37.08,60.91,77.87,1,0,9603,283,682,231,,,,,1
89,15494,4145,4326,Derived by Fugro-Geodetic in 2004 at 6 closely-spaced stations. Used by OMV in all blocks in Pakistan where operator.,Oil exploration.,3589,26.5,27.5,68.25,69.25,1,0,9603,274.164,677.282,226.704,,,,,0
90,15701,4145,4326,Derived at Geodetic Survey office in Karachi in 1997.,Oil exploration.,2985,22,25.5,65,69,1,0,9603,275.57,676.78,229.6,,,,,0
91,15702,4145,4326,"Derived at station S0001, an approximate offset to Survey of India primary station Kat Baman, in 1992 from 180 single point Transit passes observed in 1991 by Fugro-Geodetic for UTP.",Oil exploration.,2984,24,25.36,67.8,68.79,1,0,9603,278.9,684.39,226.05,,,,,0
92,15703,4145,4326,Derived at Chitrawala triangulation station by Fugro-Geodetic for UTP.,Oil exploration.,2982,24.8,25.1,66.8,67.2,1,0,9603,271.905,669.593,231.495,,,,,0
93,15704,4145,4326,Derived by Western Geophysical for UTP 1996 East Sind 2D survey.,Oil exploration.,2983,26,27,68,71.1,1,0,9606,230.25,632.76,161.03,-1.114,1.115,1.212,12.584,0
94,1156,4146,4326,"Care! DMA ellipsoid is inconsistent with EPSG ellipsoid - transformation parameter values may not be appropriate. Derived at 7 stations.","For military purposes. Accuracy 12m, 10m and 15m in X, Y and Z axes.",2411,6.75,35.51,68.14,97.38,1,0,9603,295,736,257,,,,,1
95,1544,4147,4326,Derived in Vung Tau area.,Oil exploration.,1494,8.54,12.33,104.5,107.5,1,0,9603,-17.51,-108.32,-62.39,,,,,1
96,1505,4148,4326,,For many purposes Hartebeesthoek94 datum can be considered to be coincident with WGS 84.,1215,-50.34,-22.14,14.03,41.16,1,0,9603,0,0,0,,,,,1
97,1508,4149,4326,"Implemented in Bundesamt für Landestopographie programme GRANIT.","?",1286,45.83,47.81,5.97,10.49,1,1,9607,660.077,13.551,369.344,0.804816,0.577692,0.952236,5.66,0
98,1510,4149,4326,"These parameters are strictly between CH1903+ and CHTRF95 but are used from CH1903 as an approximation which is within the accuracy of the distortions in the CH1903 network.",Accuracy 1.5 metres.,1286,45.83,47.81,5.97,10.49,1,1,9603,674.374,15.056,405.346,,,,,0
99,1753,4149,4326,"Implemented in Bundesamt für Landestopographie programme GRANIT. Used from 1987 to 1997. Not recommended for current usage - replaced by CH1903 to WGS 84 (2) (code 1766).","?",1286,45.83,47.81,5.97,10.49,1,0,9607,660.077,13.551,369.344,0.804816,0.577692,0.952236,5.66,0
100,1766,4149,4326,"These parameters are derive from CH1903+ to ETRS89 (code 1647) and are used at lesser precision from CH1903 to WGS 84 as an approximation which is within the accuracy of the distortions in the CH1903 network. Replaces CH1903 to WGS 84 (1) (code 1753).",Accuracy 1.5 metres.,1286,45.83,47.81,5.97,10.49,1,0,9603,674.4,15.1,405.3,,,,,1
101,1676,4150,4326,"Parameter values are from CH1903+ to CHTRF95 (1) (code 1509) assuming that CHTRF95 is equivalent to WGS 84. That transformation is also given as CH1903+ to ETRS89 (1) (code 1647). CHTRF95 is a realisation of ETRS89.","Approximation at the +/- 1m level.",1286,45.83,47.81,5.97,10.49,1,0,9603,674.374,15.056,405.346,,,,,1
102,1511,4151,4326,,For many purposes CHTRF95 can be considered to be coincident with WGS 84.,1286,45.83,47.81,5.97,10.49,1,0,9603,0,0,0,,,,,1
103,1580,4152,4326,"For many purposes NAD83(HARN) can be considered to be coincident with WGS 84.","Approximation at the +/- 1m level assuming that NAD83(HARN) is equivalent to WGS 84.",1337,-14.57,49.39,140.08,-63.88,1,0,9603,0,0,0,,,,,1
104,1900,4152,4326,"Strictly between NAD83(HARN) and ITRF94(1996.0). Replaced by NAD83(HARN) to WGS 84 (3) (code 1901).",Historical record only - superseded - see remarks.,1323,24.53,49.39,-124.85,-67.07,1,0,9607,-0.9738,1.9453,0.5486,-0.0275507901704247,-0.0100492213603585,-0.0113590028800276,0,0
105,1901,4152,4326,"Jointly derived by US NGS and Geodetic Survey of Canada as transformation to target CRS of ITRF96(1997.0) - see also tfm code 1946. In USA only replaces NAD83 to WGS 84 (2) (code 1900).","Geodesy. Accuracy with respect to CORS at stations adjusted to HARN network is better than 0.05-0.07m. For locations outside a HARN network (i.e. NAD83), accuracy may be only 1m but will usually be better than 0.5m.",1323,24.53,49.39,-124.85,-67.07,1,0,9607,-0.991,1.9072,0.5129,-0.0257899075194932,-0.0096500989602704,-0.0116599432323421,0,0
106,15930,4152,4326,"Accuracy 0.1 to 0.2m in California, 0.05-0.11 in Oregon, elsewhere better than 0.05m.",For applications to an accuracy of 0.2 metre.,1323,24.53,49.39,-124.85,-67.07,1,1,9603,0,0,0,,,,,0
107,1512,4153,4326,"Derived in 1998 at Assaluyeh (Taheri refinery) by Geoid for Total. Used for South Pars phases 2 and 3.",Oil industry engineering survey. Used only for terminal site.,1338,27.4,27.6,52.5,52.7,1,0,9603,-133.63,-157.5,-158.62,,,,,1
108,1141,4154,4326,"Given by DMA as from ED50. OGP interpret that as ED50(ED77) in Iran. Derived at 27 stations.","For military purposes. Accuracy 9m, 12m and 11m in X, Y and Z axes.",1123,23.35,39.8,44.06,63.37,1,0,9603,-117,-132,-164,,,,,1
109,1514,4154,4326,"Used for South Pars phases 6, 7 and 8.","Transformation for whole country: accuracy about 1m.",1123,23.35,39.8,44.06,63.37,1,0,9606,-110.33,-97.73,-119.85,0.3423,1.1634,0.2715,0.063,0
110,1856,4154,4326,Derived in Kangan district by Geoid for Total in 1998. Used for South Pars phases 2 and 3.,Petroleum Exploration and Production.,2783,26.55,26.75,52.05,52.3,1,0,9603,-122.89,-159.08,-168.74,,,,,0
111,1857,4154,4326,Derived in 1999 on Lavan island by Geoid for Elf.,Petroleum Exploration and Production.,2782,26.2,26.8,52.4,53.3,1,0,9603,-84.78,-107.55,-137.25,,,,,0
112,1858,4154,4326,Derived by Geoid for Elf in 1999. EGM96 geoid used.,Petroleum Exploration and Production.,2781,29,29.33,50.15,50.4,1,0,9603,-123.92,-155.515,-157.721,,,,,0
113,15745,4154,4326,Derived in Tombak district in March 2005. Used for South Pars phase 11.,Petroleum Exploration and Production.,3140,26.67,26.95,52.17,52.45,1,0,9603,-123.02,-158.95,-168.47,,,,,0
114,1518,4155,4326,,Accuracy 25m in each axis.,1112,6.38,12.69,-17.07,-7.65,1,0,9603,-83,37,124,,,,,1
115,1623,4156,4326,"Parameter values from S-JTSK to ETRS89 (1) (code 1622). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.",For applications to an accuracy of 1 metre.,1079,48.56,51.09,12.11,18.98,1,0,9606,570.8,85.7,462.8,4.998,1.587,5.261,3.56,0
116,1625,4156,4326,"Parameter values from S-JTSK to ETRS89 (2) (code 1624). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.",For applications to an accuracy of 1 metre.,1211,47.74,49.65,16.84,22.58,1,1,9606,559,68.7,451.5,7.92,4.073,4.251,5.71,0
117,4828,4156,4326,"Parameter values from S-JTSK to ETRS89 (4) (code 4827). Assumes ETRS89 and WGS 84 can be considered the same to within the accuracy of the transformation.",For applications to an accuracy of 1 metre.,1211,47.74,49.65,16.84,22.58,1,0,9606,485,169.5,483.5,7.786,4.398,4.103,0,0
118,15965,4156,4326,Derived at 6 stations.,"For military purposes. Accuracy 4m, 2m and 3m in X, Y and Z axes.",1306,47.74,51.05,12.09,22.56,1,0,9603,589,76,480,,,,,1
119,1283,4669,4326,,LKS94 is a realisation of ETRS89 coincident to WGS 84 within 1 metre. This transformation has an accuracy equal to the coincidence figure.,1145,53.92,56.48,21.07,26.82,1,0,9603,0,0,0,,,,,1
120,1099,4670,4326,"Parameter values taken from IGM95 to ETRS89 (1) (code 1098) assuming that ETRS89 is coincident with WGS 84 within the accuracy of the transformation.",Approximation at the 1m level.,1127,34.49,47.12,5.95,18.97,1,0,9603,0,0,0,,,,,1
121,1859,4159,4326,"Used by Repsol in Murzuq field, and PetroCanada and previous licence holders in NC177 and 72 (En Naga field). Reliability of connection to ELD79 questionned.",Oil Exploration,2785,24,28,13,19,1,0,9603,-69.06,-90.71,-142.56,,,,,0
122,1860,4159,4326,Derived December 2001 by NAGECO. Connected to ITRF via Remsa 2000 data. Used by TotalFinaElf.,Oil Exploration. 3-dimensional SD at 11 points is 0.5m.,2785,24,28,13,19,1,0,9603,-113.997,-97.076,-152.312,,,,,0
123,1861,4159,4326,Derived by GEOID in 1994 from Transit satellite data. Used by TotalFinaElf.,Oil Exploration,2786,29.6,29.9,17.2,17.5,1,0,9603,-114.5,-96.1,-151.9,,,,,0
124,1862,4159,4326,"Derived by Geoid in 2000 from ITRF connection by NAGECO for TotalFinaElf. For historic compatibility TFE use the 1994 tfm ELD79 to WGS 84 (3) (code 1861) rather than this transformation.",Oil Exploration,2786,29.6,29.9,17.2,17.5,1,0,9606,-194.513,-63.978,-25.759,-3.4027,3.756,-3.352,-0.9175,0
125,1863,4159,4326,"Derived for the Great Man-made River Authority (GMRA).",Engineering survey and oil exploration,2786,29.6,29.9,17.2,17.5,1,0,9607,-389.691,64.502,210.209,-0.086,-14.314,6.39,0.9264,0
