"DATUM_CODE","DATUM_NAME","DATUM_TYPE","ORIGIN_DESCRIPTION","REALIZATION_EPOCH","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","AREA_OF_USE_CODE","DATUM_SCOPE","REMARKS","INFORMATION_SOURCE","DATA_SOURCE","REVISION_DATE","CHANGE_ID","DEPRECATED","ESRI_DATUM_NAME"
5125,Ha Tien 1960,vertical,,1960,,,1302,"Topographic mapping, geodetic survey.",In Vietnam replaced by Hon Dau in 1992.,,EPSG,1999-10-20,,0,
5126,Hon Dau 1992,vertical,,1992,,,3328,"Topographic mapping, geodetic survey.",Replaces Ha Tien in Vietnam.,,EPSG,1999-10-20,,0,
5127,Landesnivellement 1902,vertical,"Origin at Repere Pierre du Niton (RPN) defined as 373.6 metres above msl. This value derived from msl at Marseille in 1897 through the French Lallemand network.",1902,,,1286,"Topographic mapping, cadastral survey.","Levelling observations not corrected for gravity field. For scientific purposes, replaced by LHHN95.","Bundesamt für Landestopographie",EPSG,2004-06-16,2004.10,0,
5128,Landeshohennetz 1995,vertical,"Origin at Repere Pierre du Niton (RPN) defined as 373.6 metres above msl. This value derived from msl at Marseille in 1897 through the French Lallemand network.",1995,,,1286,Geodetic survey and scientific studies.,"Orthometric heights. For scientific purposes only, replaces LN02.","Bundesamt für Landestopographie",EPSG,2004-06-16,2004.10,0,
5129,European Vertical Reference Frame 2000,vertical,"Height at Normaal Amsterdams Peil (NAP) is zero, defined through height at UELN bench mark 13600 (52°22'53""N 4°54'34""E) of 0.71599m. Datum at NAP is mean high tide in 1684.",2000,,,1299,Geodesy.,Realised by geopotential numbers and Normal heights of the United European Levelling Network.,"European veritical data centre at Bundesamt für Kartographie und Geodäsie (BKG), Leipzig branch. http://crs.bkg.bund.de/evrs/",EPSG,2000-10-19,,0,
5130,Malin Head,vertical,Mean sea level between January 1960 and December 1969.,1970,,,1305,Topographic mapping,Orthometric heights.,Ordnance Survey of Ireland,EPSG,2001-11-06,,0,
5131,Belfast Lough,vertical,"Mean sea level between 1951 and 1956 at Clarendon Dock, Belfast.",1957,,,2530,"Large scale (1:1,250, 1:2,500 and 1:10,000) topographic mapping.","Orthometric heights. Malin Head (datum code 5130) used for 1:50,000 and smaller mapping.",Ordnance Survey of Northern Ireland,EPSG,2002-09-19,2002.62,0,
5132,Dansk Normal Nul,vertical,Mean Sea Level at 10 gauges.,,,,3237,Topographic mapping and engineering survey,Orthometric heights.,"Kort & Matrikelstyrelsen",EPSG,2001-11-06,,0,
5133,AIOC 1995,vertical,Average level of Caspian Sea at the Oil Rocks tide gauge June-September 1995.,1995,,,2592,Oil industry mapping.,AIOC 1995 datum is 1.7m above Caspian datum and 26.3m below Baltic datum.,BP,EPSG,2002-02-12,,0,
5134,Black Sea,vertical,,,,,1102,Hydrographic surveying and since break-up of Former Soviet Union also topographic mapping.,Black Sea datum is 0.4m below Baltic datum.,BP,EPSG,2002-02-12,,0,
5135,Hong Kong Principal Datum,vertical,"1.23m below the mean of 19 years (1965-83) observations of tide levels at North Point, Victoria Harbour.",1980,,,3334,"Geodetic survey, engineering survey, cadastre.",,"Survey and Mapping Office, Lands Department. Http://www.info.gov.hk/landsd/mapping/tindex.htm",EPSG,2002-06-22,,0,
5136,Hong Kong Chart Datum,vertical,"Approximates to Lowest Astronomic Tide level (LAT).",,,,3335,Hydrographic survey and charting.,"Chart datum is 0.15 metres below Hong Kong Principal Datum (code 5135) and 1.38m below MSL at Quarry Bay.","Survey and Mapping Office, Lands Department. Http://www.info.gov.hk/landsd/mapping/tindex.htm",EPSG,2002-06-22,,0,
5137,Yellow Sea 1985,vertical,20 years tide readings at Qingdao.,1985,,,3228,"Topographic mapping, geodetic survey.",Replaces Yellow Sea 1956 datum.,Guangdong Province Land Resource Information Centre,EPSG,2002-06-22,,0,
5138,"Ordnance Datum Newlyn (Orkney Isles)",vertical,Connected to Newlyn datum by triangulation from the British mainland.,,,,2793,"Topographic mapping, geodetic survey.",Considered as separate from Newlyn because the accuracy of the trigonometric connection across the Pentland Firth does not meet geodetic levelling specifications. Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2004-06-16,2004.10,0,
5139,Fair Isle,vertical,,,,,2794,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5140,Lerwick,vertical,,,,,2795,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5141,Foula,vertical,,,,,2796,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5142,Sule Skerry,vertical,,,,,2797,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5143,North Rona,vertical,,,,,2798,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5144,Stornoway,vertical,,,,,2799,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5145,St. Kilda,vertical,,,,,2800,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5146,Flannan Isles,vertical,,,,,2801,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2006-01-16,2005.88,0,
5147,St. Marys,vertical,,,,,2802,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5148,Douglas,vertical,,,,,2803,"Topographic mapping, geodetic survey.",Orthometric heights.,Ordnance Survey of Great Britain,EPSG,2002-09-19,,0,
5149,Fao,vertical,,,,,2806,"Topographic mapping, geodetic survey.","Established by Hunting Surveys for IPC. Replaced by Bandar Abbas (code 5150). At time of record creation NIOC data in Ahwaz area still usually referenced to Fao.","National Iranian Oil Company (NIOC).",EPSG,2002-09-19,,0,
5150,Bandar Abbas,vertical,Average sea level at Bandar Abbass 1995-2001.,2001,,,3336,"Topographic mapping, geodetic survey.","Replaces Fao (code 5149).",National Cartographic Centre of Iran,EPSG,2002-09-19,,0,
5151,Nivellement General de Nouvelle Caledonie,vertical,"Rivet AB01 established by SHOM (Service Hydrographique de la Marine)  in 1937 on the Quai des Volontaires in Noumea. Height i: 1.885 metre above mean sea level.",1969,,,2822,"Geodetic survey, topographic mapping, engineering survey.",Orthometric heights.,Service Topographique de la Nouvelle Caledonie.,EPSG,2004-03-15,2004.06,0,
5152,Poolbeg,vertical,"Low water mark of the spring tide on the 8 April 1837 at Poolbeg Lighthouse, Dublin.",1837,,,1305,Topographic mapping before 1956 in Northern Ireland and 1970 in the Republic of Ireland.,"Replaced by Belfast Lough and Malin Head (datum codes 5130-31).","""The Irish Grid - A Description of the Co-ordinate Reference System"" published by Ordnance Survey of Ireland, Dublin and Ordnance Survey of Northern Ireland, Belfast.",EPSG,2003-06-27,,0,
5153,Nivellement General Guyanais 1977,vertical,,1977,,,3146,"Geodetic survey, topographic mapping, engineering survey.",Normal heights.,IGN Paris,EPSG,2003-06-27,,0,
5154,Martinique 1987,vertical,,,,,3276,"Geodetic survey, topographic mapping, engineering survey.","Replaces Martinique 1955 (datum code 5192).",IGN Paris,EPSG,2004-10-14,2004.561,0,
5155,Guadeloupe 1988,vertical,,,,,2829,"Geodetic survey, topographic mapping, engineering survey.","Replaces Guadeloupe 1951 (datum code 5193).",IGN Paris,EPSG,2004-10-14,2004.561,0,
5156,Reunion 1989,vertical,,,,,3337,"Geodetic survey, topographic mapping, engineering survey.",,IGN Paris,EPSG,2004-10-14,2004.561,0,
5157,Auckland,vertical,MSL at Auckland harbour 1909-1923.,1946,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5158,Bluff,vertical,MSL at Invercargill harbour over 8 years between 1918 and 1934.,1955,,,1501,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5159,Dunedin,vertical,MSL at Dunedin harbour 1918-1937.,1958,,,1501,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5160,Gisborne,vertical,MSL at Gisborne harbour 1926.,1926,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5161,Lyttleton,vertical,MSL at Lyttleton harbour over 9 years between 1918 and 1933.,1937,,,1501,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5162,Moturiki,vertical,MSL at Moturiki Island February 1949 to December 1952.,1953,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5163,Napier,vertical,MSL at Napier harbour. Period of derivation unknown.,1962,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5164,Nelson,vertical,MSL at Nelson harbour 1939-1942.,1955,,,1501,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5165,One Tree Point,vertical,MSL at Whangarei harbour 1960-1963.,1964,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5166,Tararu,vertical,MSL at Tararu Point 1922-1923.,1952,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5167,Taranaki,vertical,MSL at Taranaki harbour 1918-1921.,1970,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5168,Wellington,vertical,MSL at Wellington harbour 1909-1946.,1953,,,1500,"Geodetic survey, topographic mapping, engineering survey.",,"OSG Technical Report #10, February 2001.",EPSG,2004-03-09,,0,
5169,Chatham Island,vertical,MSL at Waitangi harbour collected in 1959.,1959,,,2889,"Geodetic survey, topographic mapping, engineering survey.",,"Interim Report GEO/T1/19/51 for LINZ by John Hannah, ""An Assessment of New Zealand's Height Systems and Options for a Future Height System"", January 2001.",EPSG,2004-03-09,,0,
5170,Stewart Island,vertical,MSL at 3-5 high and low tides at two different locations.,1977,,,3338,"Geodetic survey, topographic mapping, engineering survey.",,"Interim Report GEO/T1/19/51 for LINZ by John Hannah, ""An Assessment of New Zealand's Height Systems and Options for a Future Height System"", January 2001.",EPSG,2004-03-09,,0,
5171,EGM96 geoid,vertical,WGS 84 ellipsoid.,1996,,,1262,Geodesy.,,"NASA http://cddis.gsfc.nasa.gov/926/egm96/egm96.html",EPSG,2004-04-27,,0,
5172,Nivellement General du Luxembourg,vertical,"Reference point Wemperhardt defined as 528.030m above Normaal Amsterdams Peil (NAP). Datum at NAP is mean high tide in 1684. Network adjusted in 1995.",1995,,,1146,"Geodetic survey, topographic mapping, engineering survey.",Orthometric heights.,"Administration du Cadastre et de la Topographie. http://www.etat.lu/ACT",EPSG,2004-03-09,,0,
5173,Antalya,vertical,Mean sea Level at Antalya 1936-71.,,,,3322,"Geodetic survey, topographic mapping, engineering survey.",Orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-11-26,2004.722,0,
5174,Norway Normal Nul 1954,vertical,MSL defined by regression at 7 gauges with between 17 and 67 years observations.,1974,,,1352,"Geodetic survey, topographic mapping, engineering survey.",Includes initial NN1954 system and NNN1957 system. Former name retained. Normal-orthometric heights.,Statoil,EPSG,2004-03-09,,0,
5175,Durres,vertical,Mean Sea Level at Durres.,,,,3212,"Geodetic survey, topographic mapping, engineering survey.",Normal-orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5176,Gebrauchshohen ADRIA,vertical,Reference point Hutbiegl defined relative to mean sea level at Trieste in 1875.,,,,1037,"Geodetic survey, topographic mapping, engineering survey.",Normal-orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5177,National Vertical Network 1999,vertical,Reference point Ruse defined relative to mean sea level at Trieste in 1875.,1999,,,3307,"Geodetic survey, topographic mapping, engineering survey.",Normal-orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5178,Cascais,vertical,Mean Sea Level at Cascais 1938.,1938,,,1294,"Geodetic survey, topographic mapping, engineering survey.",Orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5179,Constanta,vertical,Mean Sea Level at Constanta.,,,,3295,"Geodetic survey, topographic mapping, engineering survey.",Normal-orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/evrs/Relations.html",EPSG,2004-03-09,,0,
5180,Alicante,vertical,Mean Sea Level at Alicante between 1870 and 1882.,,,,2366,"Geodetic survey, topographic mapping, engineering survey.",Orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5181,Deutches Haupthohennetz 1992,vertical,"Network adjusted in 1992. Geopotential number at reference point Wallenhorst defined as value from the UELN-73/86 adjustment. Datum at Normaal Amsterdams Peil (NAP) is mean high tide in 1684.",1992,,,3339,"Geodetic survey, topographic mapping, engineering survey.",Replaces DHHN85 in West Germany and SNN76 in East Germany. Uses Normal heights.,"Bundesamt für Kartographie und Geodäsie (BKG), http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5182,Deutches Haupthohennetz 1985,vertical,"Network adjusted in 1985. Height of reference point Wallenhorst defined as value from 1928 adjustment. Datum at Normaal Amsterdams Peil (NAP) is mean high tide in 1684.",1985,,,2326,"Geodetic survey, topographic mapping, engineering survey.",Replaced by DHHN92. Uses Normal-orthometric heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5183,SNN76,vertical,Network adjusted in 1976. Height at reference point Hoppegarten defined as 1957 value from the UPLN adjustment. Datum at Kronstadt is mean sea level of Baltic in 1833.,1976,,,1343,"Geodetic survey, topographic mapping, engineering survey.",Uses Normal heights. Replaced by DHHN92.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5184,Baltic 1982,vertical,Network adjusted in 1982. Height at reference point Varna defined as 1958 value from the UPLN adjustment. Datum at Kronstadt is mean sea level of Baltic in 1833.,1982,,,3224,"Geodetic survey, topographic mapping, engineering survey.",Uses Normal heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5185,Baltic 1980,vertical,,,,,1119,"Geodetic survey, topographic mapping, engineering survey.",Uses Normal heights.,"Eurogeographics, http://crs.bkg.bund.de/crs-eu/",EPSG,2004-03-09,,0,
5186,Kuwait PWD,vertical,"Mean Low Low Water (MLLW) at Kuwait City.",,,,3267,Municipality and military purposes.,Approximately 1.03m below MSL.,Kuwait Oil Company.,EPSG,2004-06-16,,0,
5187,KOC Well Datum,vertical,,1937,,,3267,KOC exploration and field development subsurface work.,Approximately 3.22m above MSL.,Kuwait Oil Company.,EPSG,2004-06-16,,0,
5188,KOC Construction Datum,vertical,,1952,,,3267,KOC survey control and facilities engineering.,Approximately 1.52m below MSL. Created for the construction of the Mina al Ahmadi refinery.,Kuwait Oil Company.,EPSG,2004-06-16,,0,
5189,Nivellement General de la Corse 1948,vertical,Mean sea level at Ajaccio between 1912 and 1937.,1948,,,1327,"Geodetic survey, topographic mapping, engineering survey.","Replaced by IGN78 Corsica (datum 5120).",IGN Paris,EPSG,2004-10-14,,0,
5190,Danger 1950,vertical,Marker near tide gauge at port of Saint Pierre. Height is 1.26 metres above zero of tide gauge.,1950,,,3299,"Geodetic survey, topographic mapping, engineering survey.",,IGN Paris,EPSG,2004-10-14,,0,
5191,Mayotte 1950,vertical,Marker on Issoufali jetty at Dzaoudzi. Height is 2.18m above zero of tide gauge.,1950,,,3340,"Geodetic survey, topographic mapping, engineering survey.",,IGN Paris,EPSG,2004-10-14,,0,
5192,Martinique 1955,vertical,Marker N.BC-2 situated at the port of Fort de France.,1955,,,3276,"Geodetic survey, topographic mapping, engineering survey.","Replaced by Martinique 1987 (datum code 5154).",IGN Paris,EPSG,2004-10-14,,0,
5193,Guadeloupe 1951,vertical,At the port of Pointe-a-Pitre.,1955,,,2892,"Geodetic survey, topographic mapping, engineering survey.","Replaced by Guadeloupe 1988 (datum code 5155).",IGN Paris,EPSG,2004-10-14,,0,
5194,Lagos 1955,vertical,"Mean sea level at Lagos, 1912-1928.",1955,,,3287,"Geodetic survey, topographic mapping, engineering survey.",,"Ebong et al, AVN International, 1991.",EPSG,2004-10-14,,0,
5195,Nivellement General de Polynesie Francaise,vertical,,,,,3134,"Geodetic survey, topographic mapping, engineering survey.",The collection of heterogeneous levelling networks throughout the Society Islands of French Polynesia.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5196,IGN 1966,vertical,"Fundamental benchmark: RN501",1966,,,3124,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5197,Moorea SAU 1981,vertical,"Fundamental benchmark: RN225",1981,,,3125,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5198,Raiatea SAU 2001,vertical,"Fundamental benchmark: RN1",2001,,,3136,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5199,Maupiti SAU 2001,vertical,"Fundamental benchmark: RN11",2001,,,3126,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5200,Huahine SAU 2001,vertical,"Fundamental benchmark: SHOM B3",2001,,,3135,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5201,Tahaa SAU 2001,vertical,"Fundamental benchmark: RN16",2001,,,3138,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5202,Bora Bora SAU 2001,vertical,"Fundamental benchmark: Vaitape quay SHOM benchmark B.",2001,,,3137,"Geodetic survey, topographic mapping, engineering survey.",Included as part of NGPF - see datum code 5195.,"Gouvernement de la Polynésie Française, Service  de l'Urbanisme, Section topographie.",EPSG,2005-08-12,,0,
5203,EGM84 geoid,vertical,WGS 84 ellipsoid.,1984,,,1262,Geodesy.,,"US National Geospatial-Intelligence Agency (NGA); http://earth-info.nga.mil/GandG/",EPSG,2005-09-30,,0,
5204,International Great Lakes Datum 1955,vertical,"Pointe-au-Père (Father's Point), Quebec",1955,,,3468,Hydrology.,Dynamic heights. Adopted in 1962. Replaced by IGLD 1985 in January 1992.,Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data,OGP,2006-11-11,,0,
5205,International Great Lakes Datum 1985,vertical,"Rimouski, Quebec.",1985,,,3468,Hydrology.,Dynamic heights. Replaces IGLD 1955 from January 1992.,Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data,OGP,2006-11-11,,0,
5206,Dansk Vertikal Reference 1990,vertical,"Benchmark at Århus cathedral referenced to mean sea level determined during 1990 at 10 tide gauges: Esbjerg, Fredericia, Frederikshavn, Gedser, Hirtshals, Hornbæk, Korsør, København, Slipshavn and Århus.",,,,3237,Topographic mapping and engineering survey,Normal Orthometric heights.,"Kort & Matrikelstyrelsen",OGP,2006-12-01,,0,
6001,"Not specified (based on Airy 1830 ellipsoid)",geodetic,,,7001,8901,1263,Not a valid datum.,Included for coordinate reference systems where datum is unknown.,EPSG,EPSG,2000-05-03,96.08  2000.42,0,"D_Airy_1830"
6002,"Not specified (based on Airy Modified 1849 ellipsoid)",geodetic,,,7002,8901,1263,Not a valid datum.,Included for coordinate reference systems where datum is unknown.,EPSG,EPSG,2000-05-03,96.08  2000.42,0,"D_Airy_Modified"
6003,"Not specified (based on Australian National Spheroid)",geodetic,,,7003,8901,1263,Not a valid datum.,Included for coordinate reference systems where datum is unknown.,EPSG,EPSG,2000-05-03,96.08  2000.42,0,"D_Australian"
6004,"Not specified (based on Bessel 1841 ellipsoid)",geodetic,,,7004,8901,1263,Not a valid datum.,Included for coordinate reference systems where datum is unknown.,EPSG,EPSG,2000-05-03,96.08  2000.42,0,"D_Bessel_1841"
6005,"Not specified (based on Bessel Modified ellipsoid)",geodetic,,,7005,8901,1263,Not a valid datum.,Included for coordinate reference systems where datum is unknown.,EPSG,EPSG,2000-05-03,96.08  2000.42,0,"D_Bessel_Modified"
