"TRF_PATH_CODE","TRF_STEP_CODE","SOURCE_HORIZCS_CODE","TARGET_HORIZCS_CODE","POLYN_TRF_CODE","NONPOLYN_TRF_CODE","CHANGE_ID"
8637,1,4230,4326,,1311,
8638,1,4903,4230,1001,,
8639,1,4903,4230,1002,,
8640,1,4903,4230,1003,,
8641,1,4903,4230,1001,,
8641,2,4230,4326,,1145,
8642,1,4267,4269,,1312,
8643,1,4267,4269,,1312,
8643,2,4269,4326,,1188,
8644,1,4267,4269,,1313,
8645,1,4267,4269,,1313,
8645,2,4269,4326,,1188,
8646,1,4277,4326,,1314,
8647,1,4277,4230,,1315,
8648,1,4260,4326,,1316,
8649,1,4220,4324,,1317,
8650,1,4220,4326,,1318,
8651,1,4220,4326,,1319,
8652,1,4220,4326,,1320,
8653,1,4220,4326,,1321,
8654,1,4220,4326,,1322,
8655,1,4220,4326,,1323,
8656,1,4220,4326,,1324,
8657,1,4220,4326,,1325,
8658,1,4220,4326,,1326,
8659,1,4220,4326,,1327,
8660,1,4259,4264,,1328,
8661,1,4264,4326,,1329,
8662,1,4259,4326,,1330,
8663,1,4805,4312,,1261,
8663,2,4312,4326,,1306,
8664,1,4133,4258,,1331,
8665,1,4284,4133,,1332,
8666,1,4133,4326,,1333,
8667,1,4284,4326,,1334,
8668,1,4301,4326,,1335,
8669,1,4301,4326,,1336,
8670,1,4301,4326,,1337,
8671,1,4301,4326,,1338,
8672,1,4301,4326,,1339,
8673,1,4301,4326,,1340,
8674,1,4301,4326,,1341,
8675,1,4301,4326,,1342,
8676,1,4301,4326,,1343,
8677,1,4301,4326,,1344,
8678,1,4301,4326,,1345,
8679,1,4301,4326,,1346,
8680,1,4301,4326,,1347,
8681,1,4301,4326,,1348,
8682,1,4301,4326,,1349,
8683,1,4301,4326,,1350,
8684,1,4301,4326,,1351,
8685,1,4301,4326,,1352,
8686,1,4301,4326,,1353,
8687,1,4301,4326,,1354,
8688,1,4301,4326,,1355,
8689,1,4301,4326,,1356,
8690,1,4301,4326,,1357,
8691,1,4301,4326,,1358,
8692,1,4301,4326,,1359,
8693,1,4301,4326,,1360,
8694,1,4301,4326,,1361,
8695,1,4301,4326,,1362,
8696,1,4301,4326,,1363,
8697,1,4301,4326,,1364,
8698,1,4301,4326,,1365,
8699,1,4301,4326,,1366,
8700,1,4301,4326,,1367,
8701,1,4301,4326,,1368,
8702,1,4301,4326,,1369,
8703,1,4301,4326,,1370,
8704,1,4301,4326,,1371,
8705,1,4301,4326,,1372,
8706,1,4301,4326,,1373,
8707,1,4301,4326,,1374,
8708,1,4301,4326,,1375,
8709,1,4301,4326,,1376,
8710,1,4301,4326,,1377,
8711,1,4301,4326,,1378,
8712,1,4301,4326,,1379,
8713,1,4301,4326,,1380,
8714,1,4301,4326,,1381,
8715,1,4301,4326,,1382,
8716,1,4301,4326,,1383,
8717,1,4301,4326,,1384,
8718,1,4301,4326,,1385,
8719,1,4301,4326,,1386,
8720,1,4301,4326,,1387,
8721,1,4301,4326,,1388,
8722,1,4301,4326,,1389,
8723,1,4301,4326,,1390,
8724,1,4301,4326,,1391,
8725,1,4301,4326,,1392,
8726,1,4301,4326,,1393,
8727,1,4301,4326,,1394,
8728,1,4301,4326,,1395,
8729,1,4301,4326,,1396,
8730,1,4301,4326,,1397,
8731,1,4301,4326,,1398,
8732,1,4301,4326,,1399,
8733,1,4301,4326,,1400,
8734,1,4301,4326,,1401,
8735,1,4301,4326,,1402,
8736,1,4301,4326,,1403,
8737,1,4301,4326,,1404,
8738,1,4301,4326,,1405,
8739,1,4301,4326,,1406,
8740,1,4301,4326,,1407,
8741,1,4301,4326,,1408,
8742,1,4301,4326,,1409,
8743,1,4301,4326,,1410,
8744,1,4301,4326,,1411,
8745,1,4301,4326,,1412,
8746,1,4301,4326,,1413,
8747,1,4301,4326,,1414,
8748,1,4301,4326,,1415,
8749,1,4301,4326,,1416,
8750,1,4301,4326,,1417,
8751,1,4301,4326,,1418,
8752,1,4301,4326,,1419,
8753,1,4301,4326,,1420,
8754,1,4301,4326,,1421,
8755,1,4301,4326,,1422,
8756,1,4301,4326,,1423,
8757,1,4301,4326,,1424,
8758,1,4301,4326,,1425,
8759,1,4301,4326,,1426,
8760,1,4301,4326,,1427,
8761,1,4301,4326,,1428,
8762,1,4301,4326,,1429,
8763,1,4301,4326,,1430,
8764,1,4301,4326,,1431,
8765,1,4301,4326,,1432,
8766,1,4301,4326,,1433,
8767,1,4301,4326,,1434,
8768,1,4301,4326,,1435,
8769,1,4301,4326,,1436,
8770,1,4232,4326,,1438,
8771,1,4134,4326,,1439,
8772,1,4230,4326,,1440,
8773,1,4601,4326,,1441,
8774,1,4602,4326,,1442,
8775,1,4603,4326,,1443,
8776,1,4604,4326,,1444,
8777,1,4605,4326,,1445,
8778,1,4606,4326,,1446,
8779,1,4600,4326,,1447,
8780,1,4124,4258,,1437,
8784,1,4230,4326,,1450,
8785,1,4135,4269,,1454,
8786,1,4135,4269,,1454,
8786,2,4269,4326,,1188,
8787,1,4136,4269,,1455,
8788,1,4136,4269,,1455,
8788,2,4269,4326,,1188,
8789,1,4137,4269,,1456,
8790,1,4137,4269,,1456,
8790,2,4269,4326,,1188,
8791,1,4138,4269,,1457,
8792,1,4138,4269,,1457,
8792,2,4269,4326,,1188,
8793,1,4609,4269,,1451,
8794,1,4609,4269,,1451,
8794,2,4269,4326,,1188,
8795,1,4202,4283,,1458,
8796,1,4202,4283,,1458,
8796,2,4283,4326,,1150,
8797,1,4202,4283,,1459,
8798,1,4202,4283,,1459,
8798,2,4283,4326,,1150,
8799,1,4202,4283,,1460,
8800,1,4202,4283,,1460,
8800,2,4283,4326,,1150,
8801,1,4139,4269,,1461,
8802,1,4139,4269,,1461,
8802,2,4269,4326,,1188,
8803,1,4267,4269,,1462,
8804,1,4267,4269,,1462,
8804,2,4269,4326,,1188,
8805,1,4608,4269,,1463,
8806,1,4608,4269,,1463,
8806,2,4269,4326,,1188,
8807,1,4202,4283,,1464,
8808,1,4202,4283,,1464,
8808,2,4283,4326,,1150,
8811,1,4817,4273,,1466,
8812,1,4807,4275,,1468,
8813,1,4142,4326,,1469,
8814,1,4143,4326,,1470,
8815,1,4312,4326,,1471,
8816,1,4122,4140,,1472,
8817,1,4140,4326,,1473,
8818,1,4122,4140,,1472,
8818,2,4140,4326,,1473,
8819,1,4269,4152,,1474,
8820,1,4269,4152,,1475,
8821,1,4269,4152,,1476,
8822,1,4269,4152,,1477,
8823,1,4269,4152,,1478,
8824,1,4269,4152,,1479,
8825,1,4269,4152,,1480,
8826,1,4269,4152,,1481,
8827,1,4269,4152,,1482,
8828,1,4269,4152,,1483,
8829,1,4269,4152,,1484,
8830,1,4269,4152,,1485,
8831,1,4269,4152,,1486,
8832,1,4269,4152,,1487,
8833,1,4269,4152,,1488,
8834,1,4269,4152,,1489,
8835,1,4269,4152,,1490,
8836,1,4269,4152,,1491,
8837,1,4269,4152,,1492,
8838,1,4269,4152,,1493,
8839,1,4269,4152,,1494,
8840,1,4269,4152,,1495,
8841,1,4269,4152,,1496,
8842,1,4269,4152,,1497,
8843,1,4269,4152,,1498,
8844,1,4269,4152,,1499,
8845,1,4269,4152,,1500,
8846,1,4269,4152,,1501,
8847,1,4269,4152,,1502,
8848,1,4269,4152,,1503,
8849,1,4222,4148,,1504,
8850,1,4148,4326,,1505,
8851,1,4202,4283,,1506,
8852,1,4202,4283,,1507,
8853,1,4202,4283,,1506,
8853,2,4283,4326,,1150,
8854,1,4202,4283,,1507,
8854,2,4283,4326,,1150,
8855,1,4149,4326,,1508,
8856,1,4150,4151,,1509,
8857,1,4150,4151,,1509,
8857,2,4151,4326,,1511,
8858,1,4149,4326,,1510,
8859,1,4151,4326,,1511,
8860,1,4267,4269,,1241,
8860,2,4269,4152,,1474,
8861,1,4267,4269,,1241,
8861,2,4269,4152,,1475,
8862,1,4267,4269,,1241,
8862,2,4269,4152,,1476,
8863,1,4267,4269,,1241,
8863,2,4269,4152,,1477,
8864,1,4267,4269,,1241,
8864,2,4269,4152,,1478,
8865,1,4267,4269,,1241,
8865,2,4269,4152,,1479,
8866,1,4267,4269,,1241,
8866,2,4269,4152,,1480,
8867,1,4267,4269,,1241,
8867,2,4269,4152,,1481,
8868,1,4267,4269,,1241,
8868,2,4269,4152,,1482,
8869,1,4267,4269,,1241,
8869,2,4269,4152,,1483,
8870,1,4267,4269,,1241,
8870,2,4269,4152,,1484,
8871,1,4267,4269,,1241,
8871,2,4269,4152,,1485,
8872,1,4267,4269,,1241,
8872,2,4269,4152,,1486,
8873,1,4267,4269,,1241,
8873,2,4269,4152,,1487,
8874,1,4267,4269,,1241,
8874,2,4269,4152,,1488,
8875,1,4267,4269,,1241,
8875,2,4269,4152,,1489,
8876,1,4267,4269,,1241,
8876,2,4269,4152,,1490,
8877,1,4267,4269,,1241,
8877,2,4269,4152,,1491,
8878,1,4267,4269,,1241,
8878,2,4269,4152,,1492,
8879,1,4267,4269,,1241,
8879,2,4269,4152,,1493,
8880,1,4267,4269,,1241,
8880,2,4269,4152,,1494,
8881,1,4139,4269,,1461,
8881,2,4269,4152,,1495,
8882,1,4267,4269,,1241,
8882,2,4269,4152,,1496,
8883,1,4267,4269,,1241,
8883,2,4269,4152,,1497,
8884,1,4267,4269,,1241,
8884,2,4269,4152,,1498,
8885,1,4267,4269,,1241,
8885,2,4269,4152,,1499,
8886,1,4267,4269,,1241,
8886,2,4269,4152,,1500,
8887,1,4267,4269,,1241,
8887,2,4269,4152,,1501,
8888,1,4267,4269,,1241,
8888,2,4269,4152,,1502,
8889,1,4267,4269,,1241,
8889,2,4269,4152,,1503,
8890,1,4153,4326,,1512,
8891,1,4132,4326,,1513,
8892,1,4154,4326,,1514,
8893,1,4269,4326,,1308,
8894,1,4269,4326,,1515,
8895,1,4247,4326,,1516,
8896,1,4267,4269,,1241,
8896,2,4269,4326,,1515,
8897,1,4267,4269,,1243,
8897,2,4269,4326,,1515,
