subcat,short_name,name,unit,unit_conv
43,"FRAIN","Rain fraction of total cloud water","-",UC_NONE
44,"RIME","Rime factor","-",UC_NONE
45,"TCOLR","Total column integrated rain","kg/m^2",UC_NONE
46,"TCOLS","Total column integrated snow","kg/m^2",UC_NONE
47,"LSWP","Large scale water precipitation","kg/m^2",UC_NONE
48,"CWP","Convective water precipitation","kg/m^2",UC_NONE
49,"TWATP","Total water precipitation","kg/m^2",UC_NONE
50,"TSNOWP","Total snow precipitation","kg/m^2",UC_NONE
51,"TCWAT","Total column water","kg/m^2",UC_NONE
52,"TPRATE","Total precipitation rate","kg/(m^2*s)",UC_NONE
53,"TSRWE","Total snowfall rate water equivalent","kg/(m^2*s)",UC_NONE
54,"LSPRATE","Large scale precipitation rate","kg/(m^2*s)",UC_NONE
55,"CSRWE","Convective snowfall rate water equivalent","kg/(m^2*s)",UC_NONE
56,"LSSRWE","Large scale snowfall rate water equivalent","kg/(m^2*s)",UC_NONE
57,"TSRATE","Total snowfall rate","m/s",UC_NONE
58,"CSRATE","Convective snowfall rate","m/s",UC_NONE
59,"LSSRWE","Large scale snowfall rate","m/s",UC_NONE
60,"SDWE","Snow depth water equivalent","kg/m^2",UC_NONE
61,"SDEN","Snow density","kg/m^3",UC_NONE
62,"SEVAP","Snow evaporation","kg/m^2",UC_NONE
63,"","Reserved","-",UC_NONE
64,"TCIWV","Total column integrated water vapour","kg/m^2",UC_NONE
65,"RPRATE","Rain precipitation rate","kg/(m^2*s)",UC_NONE
66,"SPRATE","Snow precipitation rate","kg/(m^2*s)",UC_NONE
67,"FPRATE","Freezing rain precipitation rate","kg/(m^2*s)",UC_NONE
68,"IPRATE","Ice pellets precipitation rate","kg/(m^2*s)",UC_NONE
69,"TCOLW","Total Column Integrate Cloud Water","kg/m^2",UC_NONE
70,"TCOLI","Total Column Integrate Cloud Ice","kg/m^2",UC_NONE
71,"HAILMXR","Hail Mixing Ratio","kg/kg",UC_NONE
72,"TCOLH","Total Column Integrate Hail","kg/m^2",UC_NONE
73,"HAILPR","Hail Prepitation Rate","kg/(m^2*s)",UC_NONE
74,"TCOLG","Total Column Integrate Graupel","kg/m^2",UC_NONE
75,"GPRATE","Graupel (Snow Pellets) Prepitation Rate","kg/(m^2*s)",UC_NONE
76,"CRRATE","Convective Rain Rate","kg/(m^2*s)",UC_NONE
77,"LSRRATE","Large Scale Rain Rate","kg/(m^2*s)",UC_NONE
78,"TCOLWA","Total Column Integrate Water (All components including precipitation)","kg/m^2",UC_NONE
79,"EVARATE","Evaporation Rate","kg/(m^2*s)",UC_NONE
80,"TOTCON","Total Condensate","kg/kg",UC_NONE
81,"TCICON","Total Column-Integrate Condensate","kg/m^2",UC_NONE
82,"CIMIXR","Cloud Ice Mixing Ratio","kg/kg",UC_NONE
83,"SCLLWC","Specific Cloud Liquid Water Content","kg/kg",UC_NONE
84,"SCLIWC","Specific Cloud Ice Water Content","kg/kg",UC_NONE
85,"SRAINW","Specific Rain Water Content","kg/kg",UC_NONE
86,"SSNOWW","Specific Snow Water Content","kg/kg",UC_NONE
87,"SPRATE","Stratiform Precipitation Rate","kg/(m^2*s)",UC_NONE
88,"CATCP","Categorical Convective Precipitation","0=No; 1=Yes; 2-191=Reserved; 192-254=Reserved; 255=missing",UC_NONE
89,"","Reserved","-",UC_NONE
90,"TKMFLX","Total Kinematic Moisture Flux","kg/kg(m/s)",UC_NONE
91,"UKMFLX","U-component (zonal) Kinematic Moisture Flux","kg/kg(m/s)",UC_NONE
92,"VKMFLX","V-component (meridional) Kinematic Moisture Flux","kg/kg(m/s)",UC_NONE
93,"RHWATER","Relative Humidity With Respect to Water","%",UC_NONE
94,"RHICE","Relative Humidity With Respect to Ice","%",UC_NONE
95,"FZPRATE","Freezing or Frozen Precipitation Rate","kg/(m^2*s)",UC_NONE
96,"MASSDR","Mass Density of Rain","kg/m^3",UC_NONE
97,"MASSDS","Mass Density of Snow","kg/m^3",UC_NONE
98,"MASSDG","Mass Density of Graupel","kg/m^3",UC_NONE
99,"MASSDH","Mass Density of Hail","kg/m^3",UC_NONE
100,"SPNCR","Specific Number Concentration of Rain","kg^-1",UC_NONE
101,"SPNCS","Specific Number Concentration of Snow","kg^-1",UC_NONE
102,"SPNCG","Specific Number Concentration of Graupel","kg^-1",UC_NONE
103,"SPNCH","Specific Number Concentration of Hail","kg^-1",UC_NONE
104,"NUMDR","Number Density of Rain","m^-3",UC_NONE
105,"NUMDS","Number Density of Snow","m^-3",UC_NONE
106,"NUMDG","Number Density of Graupel","m^-3",UC_NONE
107,"NUMDH","Number Density of Hail","m^-3",UC_NONE
108,"SHTPRM","Specific Humidity Tendency due to Parameterizations","kg/kg(s)",UC_NONE
109,"MDLWHVA","Mass Density of Liquid Water Coating on Hail Expressed as Mass of Liquid Water per Unit Volume of Air","kg/m^3",UC_NONE
110,"SMLWHMA","Specific Mass of Liquid Water Coating on Hail Expressed as Mass of Liquid Water per Unit Mass of Moist Air","kg/kg",UC_NONE
111,"MMLWHDA","Mass Mixing Ratio of Liquid Water Coating on Hail Expressed as Mass of Liquid Water per Unit Mass of Dry Air","kg/kg",UC_NONE
112,"MDLWGVA","Mass Density of Liquid Water Coating on Graupel Expressed as Mass of Liquid Water per Unit Volume of Air","kg/m^3",UC_NONE
113,"SMLWGMA","Specific Mass of Liquid Water Coating on Graupel Expressed as Mass of Liquid Water per Unit Mass of Moist Air","kg/kg",UC_NONE
114,"MMLWGDA","Mass Mixing Ratio of Liquid Water Coating on Graupel Expressed as Mass of Liquid Water per Unit Mass of Dry Air","kg/kg",UC_NONE
115,"MDLWSVA","Mass Density of Liquid Water Coating on Snow Expressed as Mass of Liquid Water per Unit Volume of Air","kg/m^3",UC_NONE
116,"SMLWSMA","Specific Mass of Liquid Water Coating on Snow Expressed as Mass of Liquid Water per Unit Mass of Moist Air","kg/kg",UC_NONE
117,"MMLWSDA","Mass Mixing Ratio of Liquid Water Coating on Snow Expressed as Mass of Liquid Water per Unit Mass of Dry Air","kg/kg",UC_NONE
118,"UNCSH","Unbalanced Component of Specific Humidity","kg/kg",UC_NONE
119,"UCSCLW","Unbalanced Component of Specific Cloud Liquid Water content","kg/kg",UC_NONE
120,"UCSCIW","Unbalanced Component of Specific Cloud Ice Water content","kg/kg",UC_NONE
121,"FSNOWC","Fraction of Snow Cover","Proportion",UC_NONE
